tune	fifths	mode	beats	beat_type	key_name
Bill Cheatham	1	major	2	4	G
Billy in the Lowground	none	major	4	4	?
Booth Shot Lincoln	3	major	4	4	A
Calliope House	4	major	6	8	E
Cherokee Shuffle	3	major	?	?	A
Cluck Old Hen	1	major	4	4	G
Devil's Dream	3	major	2	2	A
Fisher's Hornpipe	none	major	4	4	?
Flop Eared Mule	1	major	4	4	G
Forked Deer	2	major	2	2	D
June Apple	2	major	4	4	D
Liberty	1	major	?	?	G
Lost Indian	2	major	4	4	D
Mississippi Sawyer	2	major	4	4	D
Morrison's Jig	none	major	?	?	?
Old Joe Clark	1	major	4	4	G
Red Haired Boy	NO_MXL	-	-	-	-
Salt Creek	2	major	4	4	D
Soldier's Joy	2	major	4	4	D
Turkey in the Straw	1	major	4	4	G
